colA	colB	condition	conditionDetail	correctResponse
biologie	pastèque	4	spoA	0
biscuit	égalité	4	spoB	0
boîte	grippe	4	spoB	0
bouteille	rideau	4	spoB	0
comédie	dinosaure	4	spoA	0
confiture	aéroport	4	spoB	0
conseil	balcon	4	spoB	0
courageux	simple	4	spoA	0
crayon	voiture	4	spoB	0
cuisine	signature	4	spoA	0
difficulté	botte	4	spoB	0
écouteur	peau	4	spoB	0
égoïste	occupé	4	spoB	0
émotion	ballon	4	spoA	0
enquête	parapluie	4	spoA	0
entreprise	rat	4	spoB	0
éponge	chanson	4	spoB	0
équipe	bracelet	4	spoB	0
erreur	lumière	4	spoA	0
examen	chaussette	4	spoB	0
forêt	époux	4	spoA	0
ventre	révolution	4	spoA	0
grenouille	poète	4	spoB	0
lecture	clé	4	spoB	0
liquide	promesse	4	spoB	0
logiciel	mari	4	spoB	0
maïs	criminel	4	spoB	0
match	client	4	spoA	0
miel	loyer	4	spoA	0
objectif	papillon	4	spoB	0
ordinateur	fidélité	4	spoA	0
oreille	aventure	4	spoA	0
organe	question	4	spoA	0
parc	lèvre	4	spoA	0
partage	citron	4	spoB	0
patron	champignon	4	spoB	0
paysage	cadeau	4	spoB	0
paysan	commentaire	4	spoA	0
peinture	cou	4	spoA	0
plage	ascenseur	4	spoA	0
poison	salaire	4	spoB	0
politique	farine	4	spoA	0
publicité	séisme	4	spoA	0
recherche	pyjama	4	spoB	0
relation	bâtiment	4	spoB	0
représentant	prière	4	spoB	0
science	mer	4	spoA	0
semaine	baignoire	4	spoA	0
société	photo	4	spoA	0
style	épice	4	spoA	0
valeur	bouton	4	spoA	0
vase	ski	4	spoA	0
